video_trending_country,trending_year,trending_month,video_title,video_category_id,channel_title,video_view_count,video_like_count,video_comment_count,video_duration,trending_appearances
Cambodia,2025,5,The evil durian was chasing me😵‍💫 #cat #cats,People & Blogs,Prince Tom,119702892,1553915,772,PT37S,31
Cambodia,2025,6,New sneakers for the whole family,Comedy,Mamasoboliha,23732275,290528,75,PT30S,29
Cambodia,2025,7,Suly Pheng - កិលេស Switched Heart [Official MV],Entertainment,Suly Pheng,1558654,30271,644,PT6M18S,31
Cambodia,2025,8,"សម្លេងខ្មែរ - CAMBODIA, I HEAR YOU CALLING [Official Visualizer]",Music,La Cima Cartel,905052,32547,1602,PT4M59S,31
Cambodia,2025,9,ស្នេហ៍វិទ្យាល័យ | Young Love,Music,YOUNG GOAT - Topic,1031786,11485,0,PT4M7S,30
Cambodia,2025,10,TAGMEZ​ - BADDIE (Official Music Video),Music,Tagmez,2014509,18032,403,PT2M31S,30
Cambodia,2025,11,៥ឆ្នាំ៥ខែ | Nak Fake [ OFFICIAL MV ],Music,Galaxy Navatra KH,619503,9512,489,PT5M31S,30
Cambodia,2025,12,អារម្មណ៍បែកបាក់គ្នា | ខេមរៈ សិរីមន្ត [ OFFICIAL AUDIO ],Music,ខេមរៈ សិរីមន្ត / Khemarak Sereymun,2695804,9169,209,PT5M39S,31
Cambodia,2026,1,She & Him - I Thought I Saw Your Face Today (Official Lyric Video),Music,SheandHimOfficial,18233872,218746,4564,PT2M51S,31
Cambodia,2026,2,EXO 엑소 'Crown' MV,Music,SMTOWN,32071746,604903,121786,PT3M32S,2
Canada,2024,10,aespa 에스파 'Whiplash' MV,Music,SMTOWN,47360907,1293039,57422,PT3M11S,9
Canada,2024,11,"$1 vs $500,000 Experiences!",Entertainment,MrBeast,84610193,3357818,41859,PT17M40S,10
Canada,2024,12,I Filled my ENTIRE House with Snow *don’t try this*,People & Blogs,The Royalty Family,10985932,120813,12093,PT25M51S,16
Canada,2025,1,Why Don’t Railroads Need Expansion Joints?,Education,Veritasium,4102653,132221,4364,PT27M20S,12
Canada,2025,2,GOOD RANDOMS - My Only Trophy (Official Music Video),Gaming,Brawl Stars,12407282,312970,19932,PT2M45S,16
Canada,2025,3,Forging a Knife & Survival Camping Alone in the Wilderness,Entertainment,Outdoor Boys,10382800,324518,,PT33M49S,13
Canada,2025,4,Ed Sheeran - Azizam (Pink Heart Video),Music,Ed Sheeran,17981031,260245,27958,PT2M46S,12
Canada,2025,5,Grand Theft Auto VI Trailer 2,Gaming,Rockstar Games,109857024,5938154,484662,PT2M47S,11
Canada,2025,6,"$1 vs $500,000 Romantic Date",Entertainment,MrBeast,78708344,2564266,49379,PT17M22S,10
Canada,2025,7,World's Fastest Car Vs Cheetah!,Entertainment,MrBeast,98129224,2709978,36988,PT20M37S,9
Canada,2025,8,MF GABHRU! (Official Video) KARAN AUJLA | IKKY | Latest Punjabi Songs 2025,Music,Karan Aujla,29969295,366758,21125,PT3M31S,5
Canada,2025,9,Lady Gaga - The Dead Dance (Official Music Video),Music,LadyGagaVEVO,15169435,644621,47578,PT4M47S,5
Canada,2025,10,BOYFRIEND(MUSIC VIDEO) KARAN AUJLA| SUNANDA | IKKY | Latest Punjabi Songs 2025,Music,Karan Aujla,10003849,328339,11101,PT2M42S,5
Canada,2025,11,Dhurandhar Official Trailer | Ranveer Singh | Aditya Dhar | In Cinemas 5th December 2025,Entertainment,JioStudios,33823294,431420,29061,PT4M8S,4
Canada,2025,12,The Odyssey | Official Trailer,Entertainment,Universal Pictures,26142709,469963,24486,PT1M54S,5
Canada,2026,1,Jana Nayagan - Official Trailer | Thalapathy Vijay | Pooja Hegde | H Vinoth | Anirudh | KVN,Film & Animation,KVN PRODUCTIONS,31215830,1374680,96464,PT2M52S,5
Canada,2026,2,"Survive 99 Nights, Win $99,000",Gaming,MrBeast Gaming,9899328,228412,13896,PT21M57S,2
Chile,2024,10,JENNIE - Mantra (Official Music Video),Music,JENNIE,73306814,3115288,238485,PT2M28S,19
Chile,2024,11,Lady Gaga - Disease (Official Music Video),Music,LadyGagaVEVO,14823487,600298,55454,PT4M22S,24
Chile,2024,12,BAD BUNNY - EL CLúB (Video Oficial) | DeBÍ TiRAR MáS FOToS,Music,Bad Bunny,13568704,472328,27010,PT5M55S,26
Chile,2025,1,Luck Ra || BZRP Music Sessions #61,Entertainment,Bizarrap,19423132,503166,30605,PT2M53S,30
Chile,2025,2,ME ESCONDI 100 HORAS EN LA CASA DE MI NOVIA EN ROBLOX COMPLETO,Gaming,Chuy Mine,3935810,36218,1206,PT24M13S,23
Chile,2025,3,"Jombriel, DFZM - Vitamina (Video Oficial)",Music,Jombriel,34055098,419357,16862,PT3M34S,26
Chile,2025,4,"Eladio Carrión, Myke Towers - Vetements (Visualizer) | DON KBRN",Music,Eladio Carrion,5293992,112153,2622,PT3M42S,22
Chile,2025,5,ASÍ ES CUBA: un país atrapado en el pasado | ¿Cómo vive la gente? 🇨🇺,Entertainment,Luisito Comunica,23671482,467365,37579,PT46M18S,28
Chile,2025,6,ROMPÍ TODAS LAS REGLAS DE LA CASA DE MI HERMANO,Entertainment,Más SKabeche,1554725,50976,737,PT14M51S,30
Chile,2025,7,"Lose 100 LBs, Win $250,000!",Entertainment,MrBeast,174456292,5993566,99655,PT36M50S,22
Chile,2025,8,JERE KLEIN X KATTEYES - TODO K VER (VIDEO OFICIAL),Music,Jere Klein,6283235,,11155,PT2M39S,7
Chile,2025,9,Lucky Brown - Que Será (Video Oficial) #CLDRS,Music,Lucky Brown,1446337,27742,2670,PT2M26S,6
Chile,2025,10,JERE KLEIN & BAYRITON - TU Y YO (VIDEO OFICIAL) I JEREMIAS,Music,Jere Klein,2505744,,2287,PT3M,7
Chile,2025,11,DADDY YANKEE || BZRP Music Sessions #0/66,Entertainment,Bizarrap,31673215,2205747,108726,PT2M40S,7
Chile,2025,12,Yandel - Encantadora (Letra),Music,Alligator Lyrics,1363787,1695,10,PT4M1S,7
Chile,2026,1,"Anuel AA, Chris Jedi, ROA - NETFLIX AND CHILL",Music,Chris Jedi,2921266,121591,5196,PT3M40S,6
Chile,2026,2,"Survive 99 Nights, Win $99,000",Gaming,MrBeast Gaming,9899328,228426,13897,PT21M57S,2
Colombia,2024,10,JENNIE - Mantra (Official Music Video),Music,JENNIE,73306814,3115289,238485,PT2M28S,18
Colombia,2024,11,Yailin La Mas Viral - Bing Bong (Video Oficial),Music,Yailin La Mas Viral,23703754,369180,38850,PT2M4S,24
Colombia,2024,12,BAD BUNNY - EL CLúB (Video Oficial) | DeBÍ TiRAR MáS FOToS,Music,Bad Bunny,13568704,472328,27010,PT5M55S,26
Colombia,2025,1,Luck Ra || BZRP Music Sessions #61,Entertainment,Bizarrap,19771270,505276,30707,PT2M53S,31
Colombia,2025,2,LLEGARON 3 LULIS A MI CASA,Entertainment,Fede Vigevani,16521502,755713,74016,PT39M55S,28
Colombia,2025,3,Tattoo - Tito Double P (Video Oficial),Music,Tito Double P,34792888,236468,6352,PT2M53S,30
Colombia,2025,4,Fui a restaurantes de 1 estrella.,Entertainment,GONZOK,6907507,108587,4636,PT51M44S,25
Colombia,2025,5,ASÍ ES CUBA: un país atrapado en el pasado | ¿Cómo vive la gente? 🇨🇺,Entertainment,Luisito Comunica,23671482,467365,37579,PT46M18S,28
Colombia,2025,6,ROMPÍ TODAS LAS REGLAS DE LA CASA DE MI HERMANO,Entertainment,Más SKabeche,1554725,50976,737,PT14M51S,30
Colombia,2025,7,"Lose 100 LBs, Win $250,000!",Entertainment,MrBeast,174456292,5993566,99655,PT36M50S,22
Colombia,2025,8,Greeicy - Quiero + (Official Video),Music,GreeicyVEVO,2895074,84326,2758,PT2M35S,6
Colombia,2025,9,EL CRITICÓN (En Vivo) - DJ Jader Tremendo x Altafulla,Music,DJ Jader Tremendo,630287,38755,5008,PT3M8S,6
