video_trending_country,video_category_id,trending_appearances,total_views,avg_views,total_likes,rank
Bosnia and Herzegovina,Pets & Animals,324,883003593,46473873,14757513,10
Brazil,Gaming,31949,5002580501,236540,181318401,1
Brazil,Music,20156,5670640930,747218,217852552,2
Brazil,Entertainment,14994,2961015140,776965,108798512,3
Brazil,Sports,11521,2217965504,1076682,71433061,4
Brazil,People & Blogs,8705,1536884794,420029,40106252,5
Brazil,Film & Animation,1706,651749309,1182848,26000109,6
Brazil,Science & Technology,1471,691044306,2391157,13975580,7
Brazil,Comedy,1411,85959667,524144,4733128,8
Brazil,News & Politics,1376,94053456,472630,2441086,9
Brazil,Autos & Vehicles,576,44291160,651341,3679725,10
Bulgaria,Music,20475,5345349670,5372211,108160825,1
Bulgaria,Gaming,16341,4761259448,1597738,138669554,2
Bulgaria,Entertainment,14477,23676647321,24283741,633287974,3
Bulgaria,People & Blogs,12159,21208970550,27366414,416538393,4
Bulgaria,Comedy,4551,5721274886,23069657,125874671,5
Bulgaria,Howto & Style,2159,6089427581,39286630,93263224,6
Bulgaria,Sports,1936,3968983793,29183704,111710370,7
Bulgaria,Film & Animation,1057,813818319,11625976,24978251,8
Bulgaria,Science & Technology,620,782033488,8593775,24499258,9
Bulgaria,News & Politics,554,117387378,2023920,2520750,10
Cambodia,Gaming,20247,4647569038,860980,97524965,1
Cambodia,People & Blogs,15809,21378831685,13386870,388051294,2
Cambodia,Entertainment,12438,22325449552,21405033,532767770,3
Cambodia,Music,11784,3519790190,3595291,85993567,4
Cambodia,Comedy,3008,4871954580,29526997,88824651,5
Cambodia,Howto & Style,2219,5273643271,30840019,77476459,6
Cambodia,Film & Animation,2075,1072819391,2743784,26766660,7
Cambodia,Sports,769,2080218766,32003366,48579515,8
Cambodia,Pets & Animals,698,1368113853,35079842,23554341,9
Cambodia,Travel & Events,247,480147418,30009214,11146015,10
Canada,Gaming,35693,9348838712,396204,328824595,1
Canada,Entertainment,15140,7926574222,1674746,229442060,2
Canada,Music,13067,8992722664,2141124,347312718,3
