video_trending_country,channel_title,channel_custom_url,video_category_id,trending_appearances,total_views,total_videos,channel_subscribers,channel_view_count,rank
Georgia,ISSEI / いっせい,@issei0806,Entertainment,403,1541326635,22,64300000,51180876097,3
Georgia,CRAZY GREAPA,@crazygreapa,Entertainment,376,1149129516,20,27600000,26544025562,4
Georgia,Celine Dept,@celinedept,Sports,368,1317814494,23,50400000,41625418829,5
Georgia,Stokes Twins,@stokestwins,People & Blogs,356,1962510302,15,128000000,24217640536,6
Georgia,MrBeast Gaming,@mrbeastgaming,Gaming,355,560100982,25,58300000,11312421126,7
Georgia,Foltyn,@foltynfamily,Gaming,355,142014636,76,12300000,4206223213,8
Georgia,MrLololoshka (Роман Фильченков),@mrlololoshka,Gaming,355,86266692,118,11400000,5618592995,9
Georgia,EdisonPts,@edisonpts,Gaming,355,62967676,121,17200000,8854128264,10
Germany,sportstudio fußball,@sportstudiofussball,Sports,557,55613215,85,711000,1166051067,1
Germany,Trymacs,@trymacs,Gaming,425,29702803,260,2530000,1594375494,2
Germany,Gronkh,@gronkh,Gaming,404,12962264,346,5040000,4104374479,3
Germany,Brawl Stars,@brawlstars,Gaming,398,510491680,78,25700000,4873772550,4
Germany,Benx,@benx,Gaming,389,21665509,324,2290000,3250337363,5
Germany,Halle77 Dortmund,@halle77,Autos & Vehicles,385,12499308,43,550000,342061517,6
Germany,GameStar,@gamestar,Gaming,376,19160876,298,1590000,1645560379,7
Germany,Standart Skill,@standartskill,Gaming,374,44811524,326,3790000,2333859014,8
Germany,LumeXx,@lumexx.official,Gaming,369,16744206,267,1290000,703817313,9
Germany,Noway4u,@noway4u,Gaming,368,6900724,329,273000,253203528,10
Ghana,NollyFamily tv,@nollyfamilytv,Entertainment,586,34737573,23,1430000,305945820,1
Ghana,Omoni Oboli TV,@omoniobolitv,Entertainment,521,60435768,21,1320000,271356023,2
Ghana,BlackSherifVEVO,@blacksherifvevo5369,Music,508,19915513,20,561,96233000,3
Ghana,Shatta Wale,@shattawalegh,Music,494,8337601,42,1430000,410219664,4
Ghana,MrBeast Gaming,@mrbeastgaming,Gaming,355,558723110,25,58300000,11312421126,5
Ghana,S2G,@s2g,Gaming,355,50861643,93,2530000,1095214291,6
Ghana,MoreS2G,@mores2g,Gaming,355,33366711,101,756000,214804960,7
Ghana,Chinemelu's Channel,@chinemelutv,Film & Animation,354,26472297,12,893000,131585550,8
Ghana,SamSpedy,@samspedy,Comedy,352,38985032,16,4090000,1492960824,9
Ghana,Uche Nancy tv,@uchenancytv,People & Blogs,347,21694977,14,2040000,422241949,10
Greece,PanikRecordsTube,@panikrecordstube,Music,616,24081627,34,1480000,2830405209,1
Greece,Javou,@javou,Gaming,559,7206341,93,307000,236184234,2
Greece,Unboxholics,@unboxholics,Entertainment,453,7906026,35,1120000,512881552,3
Greece,Brawl Stars,@brawlstars,Gaming,425,393632460,46,25700000,4873772550,4
Greece,MrBeast,@mrbeast,Entertainment,424,3391676571,22,415000000,90635456119,5
Greece,ItsOnlySkillz,@itsonlyskillz,Gaming,402,9587363,75,830000,398638151,6
Greece,Thebausffs,@thebausffs,Gaming,355,59282074,136,1090000,658491779,7
Greece,Gunzar,@gunzar,Gaming,355,13605122,116,541000,178966103,8
Greece,CooLiz Games,@coolizgames,Gaming,355,1953040,90,118000,68388339,9
Greece,ANTILIPSI,@antilipsi,Gaming,354,806639,144,51300,29572471,10
Guatemala,Fede Vigevani,@fedevigevani,Entertainment,775,425168110,38,73000000,24891543053,1
Guatemala,Brawl Stars,@brawlstars,Gaming,604,510032610,70,25700000,4873772550,2
Guatemala,HYBE LABELS,@hybelabels,Music,591,679988908,53,81900000,47054602165,3
Guatemala,Luisito Comunica,@luisitocomunica,Entertainment,557,164375635,21,44900000,10926415703,4
Guatemala,MrBeast,@mrbeast,Entertainment,539,2091086673,18,415000000,90957106039,5
Guatemala,ESPN Fans,@espnfans,Sports,511,114320121,34,8010000,6227885047,6
Guatemala,Más SKabeche,@masskabeche,Entertainment,508,38103522,20,13600000,3810258411,7
Guatemala,Release - Topic,,Music,485,30165898,82,4710,9583390,8
Guatemala,Rubius Z,@elrubius,Gaming,474,247103430,161,14600000,3644621239,9
Guatemala,Juan De Dios Pantoja,@juandediospantojaa,People & Blogs,465,107501702,16,51600000,7782133656,10
Honduras,Fede Vigevani,@fedevigevani,Entertainment,811,428098207,38,73100000,24911170844,1
Honduras,Brawl Stars,@brawlstars,Gaming,671,532657036,66,25700000,4873772550,2
Honduras,HYBE LABELS,@hybelabels,Music,610,594635034,38,81900000,47054602165,3
Honduras,Luisito Comunica,@luisitocomunica,Entertainment,598,165436489,21,44900000,10926415703,4
Honduras,MrBeast,@mrbeast,Entertainment,566,2229635796,19,415000000,90957106039,5
Honduras,RDjavi,@rdjaviii,Gaming,558,116850870,51,6340000,1002532658,6
Honduras,ESPN Fans,@espnfans,Sports,554,116776884,36,8010000,6227885047,7
Honduras,Juan De Dios Pantoja,@juandediospantojaa,People & Blogs,509,110170412,16,51600000,7782133656,8
Honduras,Rubius Z,@elrubius,Gaming,503,248839820,161,14600000,3644621239,9
Honduras,E-MasterSensei,@e_mastersensei,Gaming,490,55063178,89,20200000,5662997673,10
Hong Kong,MIRROR,@mirrorweare,Music,764,39051340,50,443000,962277289,1
Hong Kong,HYBE LABELS,@hybelabels,Music,504,704711416,49,81900000,47054602165,2
Hong Kong,五件小事,@wujianxiaoshi,Entertainment,501,67602561,31,1060000,809404403,3
Hong Kong,老高與小茉 Mr & Mrs Gao,@laogao,Entertainment,460,62187625,21,6630000,2281853837,4
Hong Kong,SMTOWN,@smtown,Music,387,387996087,31,33700000,33928976378,5
Hong Kong,TVB  綜藝,@tvb_variety,Entertainment,371,10945417,20,433000,397143058,6
Hong Kong,李先生Mr. Lee,@06-pg4gc,People & Blogs,369,33383374,22,191000,504981838,7
Hong Kong,MC 張天賦,@mccheungtinfu,Music,356,11578762,17,313000,544335574,8
Hong Kong,有感筆電 Daptoper,@daptoper,Gaming,355,25867835,76,1760000,912874464,9
Hong Kong,Stanley 史丹利,@stanleyslol,Gaming,355,20997115,221,517000,811855183,10
Hungary,Sajt32,@sajt32,Gaming,716,5232348,100,591000,492213130,1
Hungary,Astro Music,@astromusicgroup,Music,694,26834048,35,128000,151143945,2
Hungary,Cresser,@cresser,Entertainment,488,7497149,25,1030000,497432261,3
Hungary,MrBeast,@mrbeast,Entertainment,480,3262209386,21,415000000,90957106039,4
Hungary,Alex Studio Production,@alexstudioproduction,Music,470,7095368,28,277000,446586314,5
Hungary,TheVR Gaming+,@wearethevr,Gaming,464,10821469,79,619000,539504275,6
Hungary,Brawl Stars,@brawlstars,Gaming,447,412851736,49,25700000,4873772550,7
Hungary,Nessaj Gaming,@nessajgaming,Gaming,429,6396545,80,461000,209825030,8
Hungary,Partizán,partizanmedia,News & Politics,413,14673964,48,577000,258346111,9
Hungary,Alex Csigér,@alexcsiger,Entertainment,404,7985982,20,1160000,580821479,10
Iceland,MoreSidemen,@moresidemen,People & Blogs,1130,277289277,57,9730000,6179845271,1
Iceland,MrBeast,@mrbeast,Entertainment,846,5421605566,51,415000000,90957106039,2
Iceland,Sidemen,@sidemen,Entertainment,846,313333061,40,22400000,7137352416,3
Iceland,Jordan Matter,@jordanmatter,Entertainment,715,429723982,28,30800000,11563444862,4
Iceland,The United Stand,@unitedstand,Sports,706,58643632,151,2120000,1610273220,5
Iceland,IShowSpeed,@ishowspeed,Gaming,699,644279896,69,57100000,9237303908,6
Iceland,Zack D. Films,@zackdfilms,Travel & Events,678,805546212,31,22300000,43023283938,7
Iceland,Ryan Trahan,@ryan,Entertainment,633,250199819,21,21100000,5073772885,8
Iceland,Mark Rober,@markrober,Science & Technology,618,1053169892,24,69300000,12914091935,9
Iceland,The Daily Show,@thedailyshow,Comedy,598,197258331,29,12800000,7544179080,10
India,Sourav Joshi Vlogs,@souravjoshivlogs7028,People & Blogs,833,1302874348,283,34700000,17866372615,1
India,Vijay Television,@vijaytelevision,Entertainment,831,956967703,481,27400000,53046803209,2
India,Sony SAB,@sonysab,Entertainment,752,709587055,335,105000000,140127257786,3
India,Sun TV,@suntv,Entertainment,737,498833627,459,32300000,43084430249,4
India,Zee Tamil,@zeetamil,Entertainment,671,277664599,359,16900000,16408581998,5
India,T-Series,@tseries,Music,519,1704169448,185,313000000,348663253146,6
India,Sidharrth TV,@officialsidharthtv,Entertainment,510,160720791,292,9950000,8512605634,7
India,Vj Siddhu Vlogs,@vjsiddhuvlog,People & Blogs,427,290158818,130,4970000,1351378801,8
India,HUM TV,@humtv,Entertainment,399,1223928539,163,50600000,44504966175,9
India,Carry Depie,@carrydepie,Gaming,386,224241636,245,4530000,2300090785,10
Indonesia,Windah Basudara,@windahbasudara,Gaming,987,212665265,323,20100000,5580592209,1
Indonesia,Dhot Design,@dhot,Film & Animation,846,930706131,130,17600000,3657112715,2
Indonesia,WARINTIL OFFICIAL,@warintil.official,Comedy,832,242174581,89,12500000,6578399829,3
Indonesia,Sptrakori_Official,@sptrakori_,People & Blogs,700,194771181,125,10100000,4634855648,4
Indonesia,Nadia Omara,@nadiaomaraa,Entertainment,688,166045659,44,12700000,2855703053,5
Indonesia,HYBE LABELS,@hybelabels,Music,563,692928127,100,81900000,47054602165,6
Indonesia,MPL Indonesia,@mplindonesia,Gaming,558,549115865,182,7820000,3945291693,7
Indonesia,Dasi Gantung,@dasigantung,Entertainment,554,39347466,27,5380000,837636102,8
Indonesia,dika_ bj,@mama_lela_series,People & Blogs,534,131951219,26,6650000,3175851877,9
Indonesia,SMTOWN,@smtown,Music,523,410643634,74,33700000,33906432296,10
Iraq,مستر جيجي Mr GG,@mr_gg,Gaming,1046,97877420,182,5740000,2326745964,1
Iraq,رانيا كيمنك Rania Gaming,@rania_gaming,Gaming,927,80274567,144,5250000,2315377701,2
Iraq,تجارب اسراء - Esraa Nabil,@esraanabil2,People & Blogs,694,51454924,24,3880000,675892554,3
Iraq,مصطفى GAME OVER,@mustafago,Gaming,684,85905806,181,12900000,4673324075,4
Iraq,beIN SPORTS,@beinsports,Sports,662,195481889,58,14300000,2333986858,5
Iraq,صالح - oPiiLz,@opiilz,Entertainment,601,62334831,71,10200000,3089533372,6
Iraq,The wonder roby (‫روبي الخارقه‬‎),@thewonderroby,Film & Animation,566,21524126,22,1290000,518637330,7
Iraq,يوميات كارتونية,@y_c86,Comedy,471,24823619,15,4520000,1210475250,8
Iraq,Peace Cake,@peacecake,Comedy,466,18077634,15,2740000,838232296,9
Iraq,العاب يوميات واحد كيمري - Gaming one daily,@gamingonedaily,Gaming,465,37327700,40,6210000,1124161898,10
Ireland,MoreSidemen,@moresidemen,People & Blogs,739,225772249,45,9730000,6179845271,1
Ireland,MrBeast,@mrbeast,Entertainment,451,3204937949,23,415000000,90957106039,2
Ireland,Red Bull,@redbull,Sports,402,728399330,21,24000000,19456483511,3
Ireland,CaylusBlox,@caylusblox,Gaming,388,265889674,124,10800000,3378498070,4
Ireland,Netflix,@netflix,Entertainment,383,206179992,55,33500000,11329778322,5
Ireland,Universal Pictures,@universalpictures,Entertainment,376,306438173,22,11100000,8417699595,6
Ireland,KreekCraft,@kreekcraft,Gaming,360,111448145,101,17200000,7469102841,7
Ireland,IShowSpeed,@ishowspeed,Gaming,356,413554386,30,57100000,9237303908,8
Ireland,SMii7Y,@smii7y,Gaming,355,136371510,72,8840000,3708103587,9
Ireland,Danny Aarons,@dannyaarons,Gaming,355,13665387,99,1940000,1216063033,10
Israel,כאן 11 - תאגיד השידור הישראלי,@kan11,Entertainment,598,31079454,31,1020000,1356470627,1
Israel,MrBeast,@mrbeast,Entertainment,545,4092961951,28,415000000,90957106039,2
